dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9760869565217392,0.9619158409328541
HAR,0.9548693586698337,0.955655391021386
PAMAP2,0.7400345125107851,0.8022638199601664
Skoda,0.9964576691462983,0.9924786324786325
Sleep,0.8400673400673401,0.7121456242281969
mean,0.901503,0.884892
