dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9765217391304348,0.9627027027027026
HAR,0.9491007804546997,0.9496226476152431
PAMAP2,0.7477998274374461,0.8166843924782202
Skoda,0.9966347856889833,0.9928556473287727
Sleep,0.8413019079685746,0.7192428944898348
mean,0.902272,0.888222
