dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9756521739130435,0.9612561199086992
HAR,0.9429928741092637,0.9435281850214562
PAMAP2,0.7349439171699741,0.7947105717313638
Skoda,0.995926319518243,0.9913554146112286
Sleep,0.8377104377104377,0.7098887284718384
mean,0.897445,0.880148
