dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9569565217391304,0.9306946051512656
HAR,0.8882253138785206,0.8873773207216198
PAMAP2,0.5094564279551338,0.46726748609854507
Skoda,0.9791710945802338,0.955944549398074
Sleep,0.5931986531986532,0.5704964275447197
mean,0.7854013999999999,0.7623561999999999
