dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9619130434782608,0.9419241341837985
HAR,0.9194435018663046,0.9199575475967168
PAMAP2,0.7034167385677309,0.741802726324394
Skoda,0.9940488841657811,0.9874357552495592
Sleep,0.7366778900112234,0.6905649572631548
mean,0.8631,0.8563370000000001
