dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9404347826086956,0.9129377563179257
HAR,0.8270105191720394,0.8228531223609806
PAMAP2,0.390060396893874,0.3528869654412387
Skoda,0.9747786043216436,0.9464883925335993
Sleep,0.6050953984287318,0.5651366154694629
mean,0.7474757999999999,0.7200606
