dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9595652173913043,0.9384565099863591
HAR,0.8965049202578894,0.896160365656571
PAMAP2,0.5029335634167386,0.5058383735499519
Skoda,0.9778604321643641,0.9524115863047823
Sleep,0.6225589225589225,0.5772125054225274
mean,0.791885,0.774016
