dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.7916521739130435,0.6954408341519475
HAR,0.6049541907024091,0.5809718307666101
PAMAP2,0.22693701466781707,0.16248344843732515
Skoda,0.9320580942260006,0.8894661507016342
Sleep,0.3699887766554434,0.3758961977357779
mean,0.5851182,0.5408518
