dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9634782608695652,0.9433034708136128
HAR,0.9334916864608076,0.9336288083984567
PAMAP2,0.6809318377911993,0.7417525791991813
Skoda,0.991675522493801,0.9823434238218632
Sleep,0.7005611672278339,0.6542704378831394
mean,0.854028,0.85106
