dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.8895652173913043,0.8530936830786655
HAR,0.8221920597217509,0.8159499544469174
PAMAP2,0.34339948231233824,0.2477217093914989
Skoda,0.973609635139922,0.9461242844510384
Sleep,0.6409652076318743,0.5902923739046646
mean,0.733946,0.690636
