dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.951304347826087,0.9237886958754773
HAR,0.827281981676281,0.8246987180033748
PAMAP2,0.34193270060396896,0.31138797865017415
Skoda,0.9698901877435352,0.9319779201196959
Sleep,0.5987654320987654,0.5746431385200209
mean,0.737835,0.713299
