dataset,linear_accuracy,linear_f1_macro
Epilepsy,0.9556521739130435,0.931154214559387
HAR,0.8768238887003733,0.876088101726784
PAMAP2,0.4064710957722174,0.3647252376519253
Skoda,0.9822883457314914,0.9656161196677396
Sleep,0.5602693602693603,0.5217820156779035
mean,0.756301,0.731873
