dataset,num_seeds,mean_feature_std_mean,mean_feature_std_std_population,mean_feature_std_std_sample,mean_feature_std_min,mean_feature_std_max
Epilepsy,5,0.12843379205528951,0.0030047026585392697,0.003359359698334073,0.12441204361336329,0.1319460535026199
HAR,5,0.9728562328507335,0.004299538045818424,0.0048070296711483,0.9671582000660685,0.9777698340587925
PAMAP2,5,1.1157070552863488,0.001456499983798931,0.001628416486500876,1.1140163240501075,1.1181127706375344
Skoda,5,0.7911273902429059,0.004746242489322597,0.005306460421911573,0.7832438620536658,0.7962333085068332
Sleep,5,0.18064600483583598,0.003125740689388977,0.003494684330755404,0.17737753191545944,0.1851609211604937
